id,x,y,z
229.0,-3.3856,-28.28766,-24.43276
230.0,-3.83431,-27.4118,-24.71879
231.0,-3.6569,-26.58349,-24.25828
232.0,-4.31271,-27.15613,-24.65197
233.0,-3.96609,-28.08582,-24.94998
234.0,-3.65636,-28.56066,-24.1489
235.0,-3.55222,-28.18289,-25.15681
236.0,-2.92794,-27.38896,-25.32367
237.0,-2.49702,-26.56117,-25.65999
238.0,-2.23628,-27.53234,-25.47677
239.0,-2.66818,-26.60129,-25.38535
240.0,-2.0554,-27.41315,-25.11572
241.0,-1.50349,-26.74204,-24.66168
242.0,-1.67043,-27.6024,-25.06264
243.0,-2.31789,-27.0597,-25.62633
244.0,-2.88257,-27.77014,-25.19529
245.0,-3.16661,-26.89704,-25.47778
246.0,-3.06006,-26.021,-24.98007
247.0,-2.08588,-25.99145,-24.76006
248.0,-2.28204,-26.85576,-25.29201
249.0,-1.91126,-26.48803,-24.44773
250.0,-1.46371,-27.11451,-23.79985
251.0,-1.38363,-27.15772,-24.69722
252.0,-1.63446,-28.02409,-25.00494
253.0,-1.61325,-28.03875,-24.04191
254.0,-1.98048,-28.36946,-23.15975
